Dispatcher selected state size 2.
This is a unit task.
Simplifying transitions... done!
Initializing Exploration...
Generating landmarks using the RPG/SAS+ approach
approx. reasonable orders
approx. obedient reasonable orders
Removed 0 reasonable or obedient reasonable orders
Landmarks generation time: 313.754s
Discovered 5415 landmarks, of which 0 are disjunctive and 0 are conjunctive 
10026 edges
Initializing LAMA-FF Synergy Object
Initializing landmarks count heuristic...
2328 initial landmarks, 2304 goal landmarks
Starting search: lazy_greedy(list(hff, hlm), preferred = list(hff, hlm))
Conducting lazy best first search, (real) bound = 2147483647
Best heuristic value: 3030/3030 [g=113, 43548 evaluated, 43547 expanded, t=1467s]
Best heuristic value: 3029/3029 [g=115, 44321 evaluated, 44320 expanded, t=1485.38s]
Best heuristic value: 3028/3028 [g=117, 45094 evaluated, 45093 expanded, t=1503.8s]
Best heuristic value: 3027/3027 [g=119, 45867 evaluated, 45866 expanded, t=1523.68s]
Best heuristic value: 3026/3026 [g=121, 46640 evaluated, 46639 expanded, t=1549.04s]
Best heuristic value: 3025/3025 [g=123, 47413 evaluated, 47412 expanded, t=1574.32s]
Best heuristic value: 3024/3024 [g=125, 48186 evaluated, 48185 expanded, t=1598.96s]
Best heuristic value: 3023/3023 [g=127, 48959 evaluated, 48958 expanded, t=1623.32s]
Best heuristic value: 3022/3022 [g=129, 49732 evaluated, 49731 expanded, t=1648.2s]
Best heuristic value: 3021/3021 [g=131, 50505 evaluated, 50504 expanded, t=1672.54s]
Best heuristic value: 3020/3020 [g=133, 51278 evaluated, 51277 expanded, t=1696.98s]
Best heuristic value: 3019/3019 [g=135, 52051 evaluated, 52050 expanded, t=1721.46s]
Best heuristic value: 3018/3018 [g=137, 52824 evaluated, 52823 expanded, t=1745.62s]
Best heuristic value: 3017/3017 [g=139, 53597 evaluated, 53596 expanded, t=1762.74s]
Best heuristic value: 3016/3016 [g=141, 54370 evaluated, 54369 expanded, t=1779.8s]
Best heuristic value: 3015/3015 [g=143, 55143 evaluated, 55142 expanded, t=1796.88s]
/home/asai/repos/downward/src/search/downward: 196 行: 30611 強制終了            "$PLANNER" --heuristic "hlm,hff=lm_ff_syn(lm_rhw(
                    reasonable_orders=true,lm_cost_type=2,cost_type=2))" --search "iterated([
                    lazy_greedy([hff,hlm],preferred=[hff,hlm]),
                    lazy_wastar([hff,hlm],preferred=[hff,hlm],w=5),
                    lazy_wastar([hff,hlm],preferred=[hff,hlm],w=3),
                    lazy_wastar([hff,hlm],preferred=[hff,hlm],w=2),
                    lazy_wastar([hff,hlm],preferred=[hff,hlm],w=1)],
                    repeat_last=true,continue_on_fail=true)" "$@" < $TEMPFILE
